"departement","begrotingsstaten","begrotingshoofdstuk_R","begroting","naam_agentschap","Agentschap","Jaar","Dep.","FTE (in aantallen)","Immateriële vaste activa","Materiële vaste activa","Financiële vaste activa","Vaste activa","Voorraden + OHW","Debiteuren + Nog te ontvangen","Liquide middelen","Vlottende activa","Totaal activa","Exploitatie reserve","Verplichte / Bestemmings-reserve","Onverdeeld resultaat","Eigen vermogen","Voorzieningen","Leningen FIN","Crediteuren + Kortlopende schulden","Totaal passiva","Omzet moeder departement","Omzet overige departementen","Omzet derden","Omzet","Diverse opbrengsten","Rentebaten","Vrijval voorzieningen","Bijzondere baten","Baten","Personele kosten","Materiële kosten","Apparaats-uitgaven","Afschrijving","Diverse lasten","Dotatie voorzieningen","Rentelasten","Bijzondere lasten","Lasten","Resultaat"
"Defensie","X, Defensie","X","Defensie","Dienst Vastgoed Defensie","DVD","2013","DEF","859","0","145081","0","145081","6984","4232","40103","51319","196400","1391","0","-869","522","0","142506","53372","196400","215641","1438","1","217080","-193","43","0","2388","219318","58891","154963","213854","2361","0","0","3666","306","220187","-869"
"Defensie","X, Defensie","X","Defensie","Paresto","Paresto","2013","DEF","860","0","12","0","12","1443","4008","18461","23912","23924","3738","0","1135","4873","4974","0","14077","23924","77479","0","642","78121","942","77","0","1204","80344","42385","33884","76269","73","0","2830","0","39","79211","1133"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Agentschap NL","AGNL","2013","EZ","1672,4","12","11494","0","11506","0","39437","89874","129311","140817","12998","0","1260","14258","11813","0","114746","140817","149833","76640","3474","229947","0","75","4182","4137","238341","131154","98149","237081","2179","0","3904","0","1688","237081","1260"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Agentschap Telecom","AT","2013","EZ","237","299","4964","0","5263","0","3131","10378","13509","18772","1620","0","803","2423","510","704","15135","18772","11622","42","20971","32635","0","56","0","410","33101","19392","10831","30223","1739","0","291","45","0","32298","803"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Dienst ICT Uitvoering","Dictu","2013","EZ","371","17716","11963","0","29679","0","41060","478","41538","71217","-479","0","562","83","217","16777","54141","71218","156097","4240","1518","161855","0","0","0","2706","164561","83004","64169","147173","9311","0","689","526","6302","164001","560"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Dienst Landelijk Gebied","DLG","2013","EZ","963","279","3685","0","3964","0","13318","41139","54457","58421","4059","15000","476","19535","18771","1985","18130","58421","78926","8487","15372","102785","0","57","370","75","103287","64297","30894","95191","1327","0","5499","164","0","102181","476"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Dienst Regelingen","DR","2013","EZ","972","21319","1267","0","22586","0","10132","21391","31523","54109","5152","0","2610","7762","0","5057","41290","54109","147995","768","13414","162177","0","43","0","0","162220","86346","59665","146011","13250","0","0","349","0","159610","2610"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Nederlandse Voedsel en Warenautoriteit","NVWA","2013","EZ","2163","10122","28476","0","38598","756","18735","58414","77905","116503","9583","0","665","10248","29949","26634","49672","116503","129522","73614","57905","261041","6594","37","10420","0","278092","180631","84561","265192","9745","0","2004","486","0","277427","665"
"Financiën","IX, Financiën en Nationale Schuld","IX","Financiën en Nationale Schuld","Domeinen Roerende Zaken","DRZ","2013","FIN","98","145","1697","0","1842","0","819","10930","11749","13591","866","0","3426","4292","4437","0","4861","13590","64","20994","2886","23944","0","40","217","0","24201","5536","12563","18099","527","0","1952","0","197","20775","3426"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Inspectie Leefomgeving en Transport","ILT","2013","IenM","1119","0","6822","0","6822","0","3034","65474","68508","75330","7829","0","11503","19332","10911","0","45087","75330","132231","11078","8810","152119","0","164","2064","1392","155739","100979","40809","141788","1608","0","296","2","542","144236","11503"
